train_tweet,train_label,train_BERT_tweet,train_BERT_tweet_length
bitch wtf,1,[CLS] bitch wtf,4
stoke cousin say share hoe brothers say share care love brothers,1,[CLS] stoke cousin say share hoe brothers say share care love brothers,13
pussy lips like heaven doors,1,[CLS] pussy lips like heaven doors,6
bravo nigga know hacky sack hoe nah throw look pass lmao,1,[CLS] bravo nigga know hacky sack hoe nah throw look pass lmao,17
lmfaoooo hate black people theres black people niggers,0,[CLS] lmfaoooo hate black people theres black people niggers,16
usc senior rb anthony brown call head coach steve sarkisian racist quit team hes bitch,2,[CLS] usc senior rb anthony brown call head coach steve sarkisian racist quit team hes bitch,19
woulda coulda shoulda ass hoe,1,[CLS] woulda coulda shoulda ass hoe,10
scrooge nevertrustt ol bitch ass,1,[CLS] scrooge nevertrustt ol bitch ass,10
wow rt im lose buttcheek pierce yeah hoe,1,[CLS] wow rt im lose buttcheek pierce yeah hoe,12
westt facts dudes hoe say get hoe austin,1,[CLS] westt facts dudes hoe say get hoe austin,13
yassssss order chinese bitch eat tacos fat fuck,1,[CLS] yassssss order chinese bitch eat tacos fat fuck,13
would wife hoe cuz care cheat other why force relationship first place,1,[CLS] would wife hoe cuz care cheat other why force relationship first place,15
pisces never anybodys bitch let people control change them rigghhht,1,[CLS] pisces never anybodys bitch let people control change them rigghhht,17
u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance,1,[CLS] u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance,20
chinese maverick communicate comrade u know give imperialist yank birdie,2,[CLS] chinese maverick communicate comrade u know give imperialist yank birdie,13
catfish hoe thinkin slick niggas catch,1,[CLS] catfish hoe thinkin slick niggas catch,11
fuckin hot gym pussy fuck yeah,1,[CLS] fuckin hot gym pussy fuck yeah,8
fuck wit us tweakin hoe shmurda,1,[CLS] fuck wit us tweakin hoe shmurda,13
u go bring ur side bitch game know ya gf friends swear,1,[CLS] u go bring ur side bitch game know ya gf friends swear,14
quick piece pussy call drive,1,[CLS] quick piece pussy call drive,6
taradise ya nigs still say yall eat butt straight face,1,[CLS] taradise ya nigs still say yall eat butt straight face,15
yasss try new things bestfriend bitch love,1,[CLS] yasss try new things bestfriend bitch love,13
but need bad bitch thats hotter me might realist shit partynextdoor ever say thats feelin everyday,1,[CLS] but need bad bitch thats hotter me might realist shit partynextdoor ever say thats feelin everyday,24
pimp pimp hoe future voice,1,[CLS] pimp pimp hoe future voice,9
fakingg people always ask im mix with bad asian bitch lol,1,[CLS] fakingg people always ask im mix with bad asian bitch lol,15
fuck wrong bitch nobody know,1,[CLS] fuck wrong bitch nobody know,6
im make marack girlfriend aye b pullin hoe like teach,1,[CLS] im make marack girlfriend aye b pullin hoe like teach,14
hen eaglesnation every eagle need see pic post bitch say racist shit,1,[CLS] hen eaglesnation every eagle need see pic post bitch say racist shit,14
u get u want bitch enjoy crazy party would love attend,1,[CLS] u get u want bitch enjoy crazy party would love attend,12
eli man throw nflleading th interception season lmao trash,2,[CLS] eli man throw nflleading th interception season lmao trash,14
probably wouldnt mind school much didnt deal bitch ass teachers retweet,1,[CLS] probably wouldnt mind school much didnt deal bitch ass teachers retweet,17
stay beautiful bitch,1,[CLS] stay beautiful bitch,4
stoke rt lmao bitch come scoot tent like fuck shit up,1,[CLS] stoke rt lmao bitch come scoot tent like fuck shit up,15
bitch twerk computer me in ya ya damn,1,[CLS] bitch twerk computer me in ya ya damn,10
fat hoe get choose lol,1,[CLS] fat hoe get choose lol,8
nojas vontethekidd get hicks lol,2,[CLS] nojas vontethekidd get hicks lol,12
