train_tweet,train_label,train_BERT_tweet,train_BERT_tweet_length
fuck gay blacklist hoe hold tehgodclan anyway,0,[CLS] fuck gay blacklist hoe hold tehgodclan anyway,14
let get drink get blow spit shit spark blunt amp fuck hoe bro white dudes chill,1,[CLS] let get drink get blow spit shit spark blunt amp fuck hoe bro white dudes chill,19
love hoe money wats wrong niggas,1,[CLS] love hoe money wats wrong niggas,11
gfg slush hoe nasty anyway fam,1,[CLS] gfg slush hoe nasty anyway fam,12
yongguk i saw ajumma walk begin say wow trash cant even listen it lmaoo,2,[CLS] yongguk i saw ajumma walk begin say wow trash cant even listen it lmaoo,22
thunduh nah fam gotta cheat hoe depend female feel,1,[CLS] thunduh nah fam gotta cheat hoe depend female feel,14
ban dat pussy life amp gotta pay millon dollar fine,1,[CLS] ban dat pussy life amp gotta pay millon dollar fine,12
brownies brownie love movie,2,[CLS] brownies brownie love movie,7
dont ever give pussy away keep tight alright,1,[CLS] dont ever give pussy away keep tight alright,10
prince art nobody takin bitch,1,[CLS] prince art nobody takin bitch,7
gfg bobby bitchby get live fuck hell yea play hoe workout,1,[CLS] gfg bobby bitchby get live fuck hell yea play hoe workout,17
could never bby lil dick thts get abortion last bitch oh god,1,[CLS] could never bby lil dick thts get abortion last bitch oh god,15
glad im get outta atlanta nothing bunch niggas amp outta jail amp dumb bitch mad kid fuckin em,1,[CLS] glad im get outta atlanta nothing bunch niggas amp outta jail amp dumb bitch mad kid fuckin em,22
get worship bitch woof woof,1,[CLS] get worship bitch woof woof,8
mike fuck twerking bitch cook,1,[CLS] mike fuck twerking bitch cook,8
hate bitch try put friendzone bitch im tryin score put endzone on my soul,1,[CLS] hate bitch try put friendzone bitch im tryin score put endzone on my soul,18
rt ganderson base look like tranny,1,[CLS] rt ganderson base look like tranny,10
pussy powerful drug happyhumpday,1,[CLS] pussy powerful drug happyhumpday,8
cause im tire big bitch come us skinny girls,1,[CLS] cause im tire big bitch come us skinny girls,10
leaf better win damn game go riot shit earlychristmas better start loot nig,1,[CLS] leaf better win damn game go riot shit earlychristmas better start loot nig,18
ride bitch handle bar,1,[CLS] ride bitch handle bar,5
son bitch take tic tacs like movie,1,[CLS] son bitch take tic tacs like movie,10
bitch kill vibe ya try dis love miley,1,[CLS] bitch kill vibe ya try dis love miley,11
stop scar choke sex u bitch ass niggas shell like it say guy hit women bed foh,1,[CLS] stop scar choke sex u bitch ass niggas shell like it say guy hit women bed foh,21
madisonx shit blow meclaim faithful somebody still fuck hoe,1,[CLS] madisonx shit blow meclaim faithful somebody still fuck hoe,13
really ask dead ass serious tho could say bitch wheet lol,1,[CLS] really ask dead ass serious tho could say bitch wheet lol,15
bore suppose cute faggot sometimes,0,[CLS] bore suppose cute faggot sometimes,8
drakes new shoe release nikejordan yes theres glitter shoe dudes fag,0,[CLS] drakes new shoe release nikejordan yes theres glitter shoe dudes fag,18
photo sole heaven,2,[CLS] photo sole heaven,4
hoe aint loyal,1,[CLS] hoe aint loyal,6
pussy love,1,[CLS] pussy love,3
karma bitch damn godprotectshisangels sip tea,1,[CLS] karma bitch damn godprotectshisangels sip tea,13
hgwells charlie chaplin history photography,2,[CLS] hgwells charlie chaplin history photography,9
yo bitch gucci mane rt bitch stoner,1,[CLS] yo bitch gucci mane rt bitch stoner,10
hoe like niggas spend money talk bout,1,[CLS] hoe like niggas spend money talk bout,11
x toto mean ass vaginai think pussy cause toto santi like nasty pussy,1,[CLS] x toto mean ass vaginai think pussy cause toto santi like nasty pussy,19
thunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,1,[CLS] thunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,22
probz im hungry ionn wanna spend money foodbroke hoe problems,1,[CLS] probz im hungry ionn wanna spend money foodbroke hoe problems,17
oomf soooo cute probably hoe lot,1,[CLS] oomf soooo cute probably hoe lot,11
baseball season win yankees love start,2,[CLS] baseball season win yankees love start,7
hoesaintloyal well theyre hoesno one expect loyal,1,[CLS] hoesaintloyal well theyre hoesno one expect loyal,15
sit window sill window open bird try fly in smack it protecttheanimals,2,[CLS] sit window sill window open bird try fly in smack it protecttheanimals,18
paradox ima steal cat n replace pitbull rt paradox bitch it,1,[CLS] paradox ima steal cat n replace pitbull rt paradox bitch it,15
cant see hoe wont change,1,[CLS] cant see hoe wont change,9
miss call das yo po bitch twitter finna screamn freemoneymelle,1,[CLS] miss call das yo po bitch twitter finna screamn freemoneymelle,17
all wanna get money fuck model bitch russell simmons,1,[CLS] all wanna get money fuck model bitch russell simmons,10
nigga gon nigga nigga sound fuckin retard,1,[CLS] nigga gon nigga nigga sound fuckin retard,15
inna di ghetto alone lmaoo,2,[CLS] inna di ghetto alone lmaoo,9
gold tim tebow get cut every team nfl already get hoe starkville smh,1,[CLS] gold tim tebow get cut every team nfl already get hoe starkville smh,18
caesar home rt much bitch look like let start ape shit,1,[CLS] caesar home rt much bitch look like let start ape shit,12
break bitch cant tell nothing,1,[CLS] break bitch cant tell nothing,7
stacey dash baddest bitch evaaaa,0,[CLS] stacey dash baddest bitch evaaaa,10
smuggler explain help fighters along jihadi highway,2,[CLS] smuggler explain help fighters along jihadi highway,10
hickies thighs right pussy gtgtgt right,1,[CLS] hickies thighs right pussy gtgtgt right,11
all bitch want baby want children,1,[CLS] all bitch want baby want children,7
yo fuck skateboard yall wood push faggot man ball life,1,[CLS] yo fuck skateboard yall wood push faggot man ball life,15
ur teacher tell u u homework bitch need go,1,[CLS] ur teacher tell u u homework bitch need go,10
wanna sex mom fuck right pussy come from damn get hack like fuck,1,[CLS] wanna sex mom fuck right pussy come from damn get hack like fuck,14
yall niggas b cuff hoe cause yall aint never bitch,1,[CLS] yall niggas b cuff hoe cause yall aint never bitch,17
baby like leave side bitch cant cuz street side twitter say aint real,1,[CLS] baby like leave side bitch cant cuz street side twitter say aint real,17
rt dawg rt ever fuck bitch start cry confuse shit,1,[CLS] rt dawg rt ever fuck bitch start cry confuse shit,12
hoe austin teach us austini teach u get curve thats know,2,[CLS] hoe austin teach us austini teach u get curve thats know,15
fuck bitch dont even suck dick kermit videos bout fuck ig,1,[CLS] fuck bitch dont even suck dick kermit videos bout fuck ig,16
quote tweet favorite animalpussy,1,[CLS] quote tweet favorite animalpussy,9
jenkins ya bitch always bitch clearly care annoy bitch,1,[CLS] jenkins ya bitch always bitch clearly care annoy bitch,11
p bitch love sosa,1,[CLS] p bitch love sosa,6
by way punch bitch,1,[CLS] by way punch bitch,5
ewww say last sundayas last sunday there read nigs,1,[CLS] ewww say last sundayas last sunday there read nigs,15
way fuck bitch lmfao kittycopter,1,[CLS] way fuck bitch lmfao kittycopter,12
amen miley need act like hoe bc emotionally damage foh,1,[CLS] amen miley need act like hoe bc emotionally damage foh,15
im tire bitch say look mean nigga big af wear tight shirt grim everybody,1,[CLS] im tire bitch say look mean nigga big af wear tight shirt grim everybody,16
lads lads fuck yeah love scally lad action hot trainers too,1,[CLS] lads lads fuck yeah love scally lad action hot trainers too,13
im fuck fag say,1,[CLS] im fuck fag say,6
loyal bitch burbs without daddy issue like find holographic mewtwo sound like lol,1,[CLS] loyal bitch burbs without daddy issue like find holographic mewtwo sound like lol,21
hoe aint loyal aint smfh amp wonder nobody decent want,1,[CLS] hoe aint loyal aint smfh amp wonder nobody decent want,16
bitch love,1,[CLS] bitch love,3
little stupid bitch fuck yoooooouuuu,1,[CLS] little stupid bitch fuck yoooooouuuu,12
actin like th day spook,2,[CLS] actin like th day spook,8
ghost bravo aw fag tweet aw lol,1,[CLS] ghost bravo aw fag tweet aw lol,12
ima keep give pussy ass niggas ah reason hate,1,[CLS] ima keep give pussy ass niggas ah reason hate,13
yall still go trick treat year nahhell yeah ima da sweet tooth bandit steal bitch bag n shit,1,[CLS] yall still go trick treat year nahhell yeah ima da sweet tooth bandit steal bitch bag n shit,22
video entire media likely mock crybaby,2,[CLS] video entire media likely mock crybaby,9
thunduh im bitch okay nudes pat wow,1,[CLS] thunduh im bitch okay nudes pat wow,11
andrewbryant poff double vision beers poff double pussy smh,1,[CLS] andrewbryant poff double vision beers poff double pussy smh,15
amp hes go always hoe,1,[CLS] amp hes go always hoe,8
