train_tweet,train_label,train_BERT_tweet,train_BERT_tweet_length
id say im back old old bitch would get excite,1,[CLS] id say im back old old bitch would get excite,12
dese hoe lyin us nigga,1,[CLS] dese hoe lyin us nigga,10
money get taller bitch get blurry,1,[CLS] money get taller bitch get blurry,8
black bottle amp bad bitch,1,[CLS] black bottle amp bad bitch,6
happen vixen ent bitch get run throw side like foothill bitch,1,[CLS] happen vixen ent bitch get run throw side like foothill bitch,16
harlem shake excuse go full retard second,1,[CLS] harlem shake excuse go full retard second,10
yall shut upp make bitch,1,[CLS] yall shut upp make bitch,8
ol dirty foot ass bitch funny me,1,[CLS] ol dirty foot ass bitch funny me,8
hate im pregnant type bitch,1,[CLS] hate im pregnant type bitch,6
rad i play soccer cheat girls wear khaki colour cargos haircut yes lmfao,2,[CLS] rad i play soccer cheat girls wear khaki colour cargos haircut yes lmfao,22
facts tattoostattoo hes pussy tattoo nipples,1,[CLS] facts tattoostattoo hes pussy tattoo nipples,11
teanna trump probably cleaner twitter hoe but,1,[CLS] teanna trump probably cleaner twitter hoe but,10
tell mariam cigarettes birthday also call trash rn,2,[CLS] tell mariam cigarettes birthday also call trash rn,10
cant worry bitch aint worry bout me real,1,[CLS] cant worry bitch aint worry bout me real,11
dont know ugly bitch know break niggasgates,1,[CLS] dont know ugly bitch know break niggasgates,12
one loyal female wayyyyy better hoe idc,1,[CLS] one loyal female wayyyyy better hoe idc,14
money impress simple break bitch,1,[CLS] money impress simple break bitch,6
jaylene see brunos bitch ass twitter now wtf brunos see drake voice,1,[CLS] jaylene see brunos bitch ass twitter now wtf brunos see drake voice,17
get ya bitch tip toe hardwood floor,1,[CLS] get ya bitch tip toe hardwood floor,8
aint bout murder game pussy nigga shut,1,[CLS] aint bout murder game pussy nigga shut,10
roses red violets blue niggers black know thats true,1,[CLS] roses red violets blue niggers black know thats true,14
xpdotjdot damn near gotta protect tweet stalkers annoy get dope dick drive bitch loco,1,[CLS] xpdotjdot damn near gotta protect tweet stalkers annoy get dope dick drive bitch loco,23
charlie sheen real major fuck respect charlie sheen,1,[CLS] charlie sheen real major fuck respect charlie sheen,9
simplyaddictedtoguys woof woof hot scally lad,2,[CLS] simplyaddictedtoguys woof woof hot scally lad,16
get dick suck yo party bad bitch im fr go set by,1,[CLS] get dick suck yo party bad bitch im fr go set by,13
name cat ideas mr pussy,1,[CLS] name cat ideas mr pussy,6
trust dese hoe nikki tell st stay fan screen shoot asap finna come chiraq shoot sumn,1,[CLS] trust dese hoe nikki tell st stay fan screen shoot asap finna come chiraq shoot sumn,24
eventually every bitch turn hoe truuu,1,[CLS] eventually every bitch turn hoe truuu,11
